theme,url,img,lines,author
LIVE YOUR DREAMS,/inspirational-quotes/5674-youre-off-to-great-places-today-is-your,https://assets.passiton.com/quotes/quote_artwork/5674/medium/20210601_tuesday_quote.jpg?1622420702,"You're off to Great Places!
Today is your day!
Your mountain is waiting,
So... get on your way!",<Author:0x00007f318d74ccf8>
LIVE YOUR DREAMS,/inspirational-quotes/4137-go-confidently-in-the-direction-of-your-dreams,https://assets.passiton.com/quotes/quote_artwork/4137/medium/20210531_monday_quote.jpg?1622420661,Go confidently in the direction of your dreams! Live the life you've imagined.,<Author:0x00007f318d63ba08>
LEADERSHIP,/inspirational-quotes/8221-if-your-actions-create-a-legacy-that-inspires,https://assets.passiton.com/quotes/quote_artwork/8221/medium/20210528_friday_quote.jpg?1621631390,"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",<Author:0x00007f318d65d9f0>
LEADERSHIP,/inspirational-quotes/8220-one-of-the-tests-of-leadership-is-the-ability,https://assets.passiton.com/quotes/quote_artwork/8220/medium/20210527_thursday_quote.jpg?1621631378,One of the tests of leadership is the ability to recognize a problem before it becomes an emergency.,<Author:0x00007f318d692060>
LEADERSHIP,/inspirational-quotes/8219-before-you-are-a-leader-success-is-all-about,https://assets.passiton.com/quotes/quote_artwork/8219/medium/20210526_wednesday_quote.jpg?1621631365,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",<Author:0x00007f318d93b6e0>
LEADERSHIP,/inspirational-quotes/8218-a-leader-is-a-dealer-in-hope,https://assets.passiton.com/quotes/quote_artwork/8218/medium/20210525_tuesday_quote.jpg?1621631352,A leader is a dealer in hope.,<Author:0x00007f318d977550>
LEADERSHIP,/inspirational-quotes/8217-a-true-leader-has-the-confidence-to-stand,https://assets.passiton.com/quotes/quote_artwork/8217/medium/20210524_monday_quote.jpg?1621631340,"A true leader has the confidence to stand alone, the courage to make tough decisions, and the compassion to listen to the needs of others. They do not set out to be a leader, but become one by the equality of their actions and the integrity of their intentions.",<Author:0x00007f318d99e8a8>
HUMOR,/inspirational-quotes/8216-i-think-the-next-best-thing-to-solving-a,https://assets.passiton.com/quotes/quote_artwork/8216/medium/20210521_friday_quote.jpg?1621015177,I think the next best thing to solving a problem is finding some humor in it.,<Author:0x00007f318d9d3030>
HUMOR,/inspirational-quotes/8215-good-humor-is-the-sunshine-of-the-mind,https://assets.passiton.com/quotes/quote_artwork/8215/medium/20210520_thursday_quote.jpg?1621015156,Good humor is the sunshine of the mind.,<Author:0x00007f318d9f9208>
HUMOR,/inspirational-quotes/8214-laugh-as-much-as-possible-always-laugh-its,https://assets.passiton.com/quotes/quote_artwork/8214/medium/20210519_wednesday_quote.jpg?1621015138,"Laugh as much as possible, always laugh. It's the sweetest thing one can do for oneself & one's fellow human beings.",<Author:0x00007f318da523f8>
HUMOR,/inspirational-quotes/8213-you-may-not-be-able-to-change-a-situation-but,https://assets.passiton.com/quotes/quote_artwork/8213/medium/20210518_tuesday_quote.jpg?1621015117,"You may not be able to change a situation, but with humor you can change your attitude about it.",<Author:0x00007f318da882c8>
HUMOR,/inspirational-quotes/6111-into-each-day-put-in-about-one-teaspoonful-of,https://assets.passiton.com/quotes/quote_artwork/6111/medium/20210517_monday_quote.jpg?1621015095,"Into each day, put in about one teaspoonful of good spirits, a dash of fun, a pinch of folly, a sprinkling of play, and a heaping cupful of good humor!
",<Author:0x00007f318dabefa8>
PRACTICE,/inspirational-quotes/7105-practice-puts-brains-in-your-muscles,https://assets.passiton.com/quotes/quote_artwork/7105/medium/20210514_friday_quote.jpg?1620322153,Practice puts brains in your muscles. ,<Author:0x00007f318daece30>
PRACTICE,/inspirational-quotes/7107-always-dream-and-shoot-higher-than-you-know-you,https://assets.passiton.com/quotes/quote_artwork/7107/medium/20210513_thursday_quote.jpg?1620322128,Always dream and shoot higher than you know you can do. Do not bother just to be better than your contemporaries or predecessors. Try to be better than yourself. ,<Author:0x00007f318db50f20>
